,name,artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Shape of You,Ed Sheeran,0.847533632287,0.522184300341,0.913192146481,0.139774399215,0.835910072962,0.0,0.127515090543,0.960218231416,0.167892156863,233713.0
1,Despacito - Remix,Luis Fonsi,0.651718983558,0.800341296928,0.786896095301,0.237371260422,0.329246438601,0.0,0.125754527163,0.826096840191,0.111455529924,228827.0
2,Despacito (Featuring Daddy Yankee),Luis Fonsi,0.600896860987,0.750853242321,0.739576439444,0.35998038254,0.300458732103,0.0,0.175050301811,0.863605364856,0.823537421505,228200.0
3,Something Just Like This,The Chainsmokers,0.536621823617,0.493174061433,0.517648356497,0.0208435507602,0.0713085883804,6.85714285714e-05,0.30583501006,0.408956581041,0.224296744842,247160.0
4,I'm the One,DJ Khaled,0.52466367713,0.549488054608,0.791749393338,0.033104462972,0.0790812691348,0.0,0.31338028169,0.823823596272,0.0473215429963,288600.0
5,HUMBLE.,Kendrick Lamar,0.965620328849,0.452218430034,0.509596293845,0.16086316822,0.0,9.66666666667e-05,0.138832997988,0.356671970902,0.600762527233,177000.0
6,It Ain't Me (with Selena Gomez),Kygo,0.571001494768,0.319112627986,0.536730641959,0.116233447769,0.170914052863,0.0,0.110663983903,0.487383496249,0.199859028579,220781.0
7,Unforgettable,French Montana,0.699551569507,0.721843003413,0.708030002206,0.244727807749,0.0418011892202,0.0480952380952,0.154929577465,0.735167083428,0.183975714469,233902.0
8,That's What I Like,Bruno Mars,0.889387144993,0.365187713311,0.717074784911,0.0426679744973,0.0183392084244,0.0,0.130784708249,0.879518072289,0.472975137768,206693.0
9,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,0.713004484305,0.179180887372,0.340613280388,0.0865620402158,0.0904524132015,6.19047619048e-05,0.710764587525,0.0,0.344074394464,245200.0
10,XO TOUR Llif3,Lil Uzi Vert,0.708520179372,0.689419795222,0.562100154423,0.509563511525,0.00342717645857,0.0,0.167505030181,0.357808592862,0.641419966679,182707.0
11,Paris,The Chainsmokers,0.59043348281,0.532423208191,0.555261416281,0.0176557135851,0.030573983686,7.90476190476e-06,0.129527162978,0.150943396226,0.200035242855,221507.0
12,Stay (with Alessia Cara),Zedd,0.629297458894,0.491467576792,0.71012574454,0.103482099068,0.333564594576,0.0,0.182595573441,0.468060922937,0.216238946559,210091.0
13,Attention,Charlie Puth,0.77130044843,0.477815699659,0.775424663578,0.0490436488475,0.139103637183,0.000148571428571,0.106639839034,0.785178449648,0.200443739587,211475.0
14,Mask Off,Future,0.859491778774,0.150170648464,0.294176042356,1.0,0.0143089295147,0.104285714286,0.308350100604,0.221413957718,0.601098936307,204600.0
15,Congratulations,Post Malone,0.551569506726,0.795221843003,0.799360247077,0.0308974987739,0.284625493529,0.0,0.426559356137,0.474880654694,0.384908048187,220293.0
16,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,0.654708520179,0.803754266212,0.838296933598,0.210397253556,0.107581098568,0.0,0.363682092555,0.790861559445,0.184608483916,216409.0
17,Castle on the Hill,Ed Sheeran,0.303437967115,0.832764505119,0.727332892124,0.185630210888,0.0330209387383,5.42857142857e-05,0.245472837022,0.43737213003,0.48051230296,261154.0
18,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,0.690582959641,0.711604095563,0.815574674608,0.0713585090731,0.584017641107,0.0,0.346076458753,0.745396681064,0.215854479047,251088.0
19,Believer,Imagine Dragons,0.778774289985,0.752559726962,0.789433046548,0.207945071113,0.0750509902251,0.0,0.245472837022,0.70675153444,0.400214661028,204347.0
20,Mi Gente,J Balvin,0.42600896861,0.564846416382,0.722148687403,0.186611083865,0.0209301020092,2.95714285714e-05,0.22032193159,0.236190043192,0.230624439318,189440.0
21,Thunder,Imagine Dragons,0.511210762332,0.79180887372,0.740458857269,0.0605689063266,0.00945820096986,1.0,0.283199195171,0.24073653103,0.743816480841,187147.0
22,Say You Won't Let Go,James Arthur,0.149476831091,0.360068259386,0.448268255019,0.087788131437,1.0,0.0,0.120221327968,0.463514435099,0.0803136614123,211467.0
23,There's Nothing Holdin' Me Back,Shawn Mendes,0.895366218236,0.774744027304,0.819214648136,0.0860716037273,0.548033007984,0.0,0.122987927565,1.0,0.376297577855,199440.0
24,Me Rehúso,Danny Ocean,0.726457399103,0.78156996587,0.566401941319,0.109122118686,0.0328770002058,0.0,0.0176056338028,0.38622414185,0.23874631552,205715.0
25,Issues,Julia Michaels,0.669656203288,0.138225255973,0.507169644827,0.158656204022,0.594093338381,0.0,0.0465291750503,0.379404410093,0.310681789055,176320.0
26,Galway Girl,Ed Sheeran,0.547085201794,0.904436860068,0.892124420913,0.188327611574,0.10542202058,0.0,0.715794768612,0.789724937486,0.199658785083,170827.0
27,Scared to Be Lonely,Martin Garrix,0.487294469357,0.331058020478,0.405470990514,0.0843550760177,0.128452185779,0.0,0.549798792757,0.123664469198,0.504261181597,220883.0
28,Closer,The Chainsmokers,0.732436472347,0.303754266212,0.64670196338,0.0259931338892,0.595532723706,0.0,0.172535211268,0.653330302341,0.160146738434,244960.0
29,Symphony (feat. Zara Larsson),Clean Bandit,0.671150971599,0.482935153584,0.758989631591,0.0811672388426,0.372427998348,7.61904761905e-05,0.240442655936,0.421459422596,0.383242022299,212459.0
30,I Feel It Coming,The Weeknd,0.762331838565,0.796928327645,0.609088903596,0.256988719961,0.614244732929,0.0,0.149899396378,0.560127301659,0.143999102909,269187.0
31,Starboy,The Weeknd,0.632286995516,0.423208191126,0.489080079418,0.634624816086,0.237125777808,1.6619047619e-05,0.230382293763,0.51011593544,0.889385492759,230453.0
32,Wild Thoughts,DJ Khaled,0.617339312407,0.556313993174,0.923009044783,0.111819519372,0.0469829763898,0.0,0.19014084507,0.620368265515,0.18393566577,204173.0
33,Slide,Calvin Harris,0.714499252616,0.766211604096,0.900397088021,0.0767533104463,0.716441090997,5.7619047619e-06,0.532193158954,0.482837008411,0.232682942458,230813.0
34,New Rules,Dua Lipa,0.766816143498,0.597269624573,0.574012795058,0.128249141736,0.00331202563257,4.62380952381e-05,0.343561368209,0.647647192544,0.328703703704,208827.0
35,1-800-273-8255,Logic,0.554559043348,0.38566552901,0.411317008604,0.0380088278568,0.820076834389,0.0,0.376257545272,0.340759263469,0.200235486351,250173.0
36,Passionfruit,Drake,0.823617339312,0.199658703072,0.00937568938893,0.0402157920549,0.368109842373,0.404761904762,0.167505030181,0.315753580359,0.296072023581,298941.0
37,rockstar,Post Malone,0.476831091181,0.300341296928,0.536951246415,0.184404119667,0.186747291437,0.00043,0.250503018109,0.0372812002728,0.678873510188,218320.0
38,Strip That Down,Liam Payne,0.913303437967,0.237201365188,0.647143172292,0.0767533104463,0.353715989124,0.0,0.0857645875252,0.501022959764,0.248398052031,204502.0
39,2U (feat. Justin Bieber),David Guetta,0.433482810164,0.518771331058,0.621553055372,0.0880333496812,0.314852585352,0.0,0.459255533199,0.53512161855,0.560049019608,194897.0
40,Perfect,Ed Sheeran,0.509715994021,0.174061433447,0.568056474741,0.0,0.234247007158,0.0,0.159959758551,0.0929756762901,0.160467128028,263400.0
41,Call On Me - Ryan Riback Extended Remix,Starley,0.624813153961,0.848122866894,0.815574674608,0.033104462972,0.0893009049416,0.00358095238095,0.348591549296,0.718117754035,0.240188068692,222041.0
42,Feels,Calvin Harris,0.949177877429,0.680887372014,0.921795720274,0.0831289847965,0.0920357370588,0.0,0.130533199195,0.893157535804,0.208269255415,223413.0
